"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4";"PinSocket_1x03_P2.54mm_Horizontal";1;"Soil Moisture Sensor";;;
2;"U1";"Aosong_DHT11_5.5x12.0_P2.54mm";1;"DHT11";;;
3;"SW1";"SW_DIP_SPSTx01_Slide_Copal_CHS-01A_W5.08mm_P1.27mm_JPin";1;"SW_DPST_x2";;;
4;"R3,R5,R4";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";3;"220";;;
5;"C2,C1,C7,C8";"CP_Elec_3x5.3";4;"0.1u";;;
6;"J5";"USB_C_Receptacle_GCT_USB4085";1;"USB_C_Receptacle_PowerOnly_24P";;;
7;"D1";"LED_RGB_5050-6";1;"LED_RGBA";;;
8;"C9,C10";"CP_Elec_3x5.3";2;"22pF";;;
9;"U2";"LCD-016N002L";1;"LCD-016N002L";;;
10;"R8,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"5.1k";;;
11;"Y2";"Crystal_AT310_D3.0mm_L10.0mm_Horizontal";1;"Crystal";;;
12;"SW2,SW3";"SW_PUSH-12mm_Wuerth-430476085716";2;"SW_Push";;;
13;"U3";"TQFP-100_14x14mm_P0.5mm";1;"ATmega2560-16A";;;
14;"J3";"PinSocket_1x06_P1.00mm_Vertical_SMD_Pin1Right";1;"Serial";;;
15;"R2";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"10k";;;
16;"J2";"Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical";1;"AVR-ISP-6";;;
17;"C6";"CP_Elec_3x5.3";1;"4.7u";;;
18;"J1";"PinHeader_1x08_P1.00mm_Vertical";1;"Key Membrane Switch";;;
19;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"22";;;
20;"RV1";"Potentiometer_Bourns_3266P_Horizontal";1;"10k Pot";;;
21;"R1";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"R_Photo";;;
